torch.compile disabled in this fork runtime path.
Using PyTorch SDPA attention backend.
GPU: NVIDIA GeForce RTX 4060 Ti
GPU VRAM: 16.0 GB
GPU CC: 8.9
GPU profile: ada-10-15gb
Consumer matrix support: yes
TF32: enabled
AMP dtype: torch.bfloat16
Vocab size: 8,192
Dataset: tinystories
Muon compute dtype: torch.bfloat16 (matching AMP dtype)
Using cached autotune candidate: batch_size=4, checkpointing=on.
Attention backend: sdpa
torch.compile: disabled
Trying train candidate: batch_size=4, activation_checkpointing=enabled
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 8, 'n_kv_head': 8, 'n_embd': 512, 'window_pattern': 'SSSL', 'attention_backend': 'sdpa', 'use_activation_checkpointing': True, 'compute_dtype': torch.bfloat16}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,848
  scalars                 : 16
  total                   : 50,332,688
Estimated FLOPs per token: 2.390815e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 900s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011614 | lrm: 1.00 | dt: 1075ms | tok/sec: 30,470 | mfu: 8.2% | epoch: 1 | remaining: 900s    
step 00001 (0.0%) | loss: 8.768569 | lrm: 1.00 | dt: 838ms | tok/sec: 39,117 | mfu: 10.6% | epoch: 1 | remaining: 900s    
step 00002 (0.0%) | loss: 8.061274 | lrm: 1.00 | dt: 838ms | tok/sec: 39,096 | mfu: 10.6% | epoch: 1 | remaining: 900s    
step 00003 (0.0%) | loss: 7.323978 | lrm: 1.00 | dt: 838ms | tok/sec: 39,080 | mfu: 10.6% | epoch: 1 | remaining: 900s    
step 00004 (0.0%) | loss: 6.725945 | lrm: 1.00 | dt: 841ms | tok/sec: 38,983 | mfu: 10.5% | epoch: 1 | remaining: 900s    
step 00005 (0.0%) | loss: 6.215418 | lrm: 1.00 | dt: 855ms | tok/sec: 38,340 | mfu: 10.4% | epoch: 1 | remaining: 900s    
step 00006 (0.0%) | loss: 5.883963 | lrm: 1.00 | dt: 839ms | tok/sec: 39,070 | mfu: 10.6% | epoch: 1 | remaining: 900s    
step 00007 (0.0%) | loss: 5.593616 | lrm: 1.00 | dt: 838ms | tok/sec: 39,090 | mfu: 10.6% | epoch: 1 | remaining: 900s    
step 00008 (0.0%) | loss: 5.360705 | lrm: 1.00 | dt: 839ms | tok/sec: 39,050 | mfu: 10.6% | epoch: 1 | remaining: 900s    
step 00009 (0.0%) | loss: 5.175372 | lrm: 1.00 | dt: 839ms | tok/sec: 39,053 | mfu: 10.6% | epoch: 1 | remaining: 900s    
step 00010 (0.0%) | loss: 5.023817 | lrm: 1.00 | dt: 836ms | tok/sec: 39,173 | mfu: 10.6% | epoch: 1 | remaining: 900s    
step 00011 (0.0%) | loss: 4.867952 | lrm: 1.00 | dt: 839ms | tok/sec: 39,078 | mfu: 10.6% | epoch: 1 | remaining: 899s    
step 00012 (0.1%) | loss: 4.747224 | lrm: 1.00 | dt: 841ms | tok/sec: 38,952 | mfu: 10.5% | epoch: 1 | remaining: 898s    
step 00013 (0.2%) | loss: 4.669297 | lrm: 1.00 | dt: 839ms | tok/sec: 39,073 | mfu: 10.6% | epoch: 1 | remaining: 897s    
step 00014 (0.3%) | loss: 4.555015 | lrm: 1.00 | dt: 839ms | tok/sec: 39,072 | mfu: 10.6% | epoch: 1 | remaining: 897s    
step 00015 (0.4%) | loss: 4.483211 | lrm: 1.00 | dt: 839ms | tok/sec: 39,042 | mfu: 10.6% | epoch: 1 | remaining: 896s    
step 00016 (0.5%) | loss: 4.443635 | lrm: 1.00 | dt: 840ms | tok/sec: 39,021 | mfu: 10.6% | epoch: 1 | remaining: 895s    
step 00017 (0.6%) | loss: 4.364035 | lrm: 1.00 | dt: 838ms | tok/sec: 39,086 | mfu: 10.6% | epoch: 1 | remaining: 894s    
step 00018 (0.7%) | loss: 4.294300 | lrm: 1.00 | dt: 840ms | tok/sec: 39,029 | mfu: 10.6% | epoch: 1 | remaining: 893s    
step 00019 (0.7%) | loss: 4.271820 | lrm: 1.00 | dt: 838ms | tok/sec: 39,111 | mfu: 10.6% | epoch: 1 | remaining: 892s    
step 00020 (0.8%) | loss: 4.199723 | lrm: 1.00 | dt: 837ms | tok/sec: 39,127 | mfu: 10.6% | epoch: 1 | remaining: 892s    
step 00021 (0.9%) | loss: 4.141501 | lrm: 1.00 | dt: 841ms | tok/sec: 38,976 | mfu: 10.5% | epoch: 1 | remaining: 891s    
step 00022 (1.0%) | loss: 4.116005 | lrm: 1.00 | dt: 838ms | tok/sec: 39,102 | mfu: 10.6% | epoch: 1 | remaining: 890s    
step 00023 (1.1%) | loss: 4.062873 | lrm: 1.00 | dt: 839ms | tok/sec: 39,050 | mfu: 10.6% | epoch: 1 | remaining: 889s    
step 00024 (1.2%) | loss: 4.038955 | lrm: 1.00 | dt: 841ms | tok/sec: 38,970 | mfu: 10.5% | epoch: 1 | remaining: 888s    
step 00025 (1.3%) | loss: 4.018789 | lrm: 1.00 | dt: 838ms | tok/sec: 39,094 | mfu: 10.6% | epoch: 1 | remaining: 887s    
step 00026 (1.4%) | loss: 3.972463 | lrm: 1.00 | dt: 838ms | tok/sec: 39,081 | mfu: 10.6% | epoch: 1 | remaining: 887s    
step 00027 (1.5%) | loss: 3.934813 | lrm: 1.00 | dt: 854ms | tok/sec: 38,349 | mfu: 10.4% | epoch: 1 | remaining: 886s    
step 00028 (1.6%) | loss: 3.908637 | lrm: 1.00 | dt: 839ms | tok/sec: 39,048 | mfu: 10.6% | epoch: 1 | remaining: 885s    
step 00029 (1.7%) | loss: 3.848685 | lrm: 1.00 | dt: 838ms | tok/sec: 39,115 | mfu: 10.6% | epoch: 1 | remaining: 884s    
step 00030 (1.8%) | loss: 3.832210 | lrm: 1.00 | dt: 838ms | tok/sec: 39,098 | mfu: 10.6% | epoch: 1 | remaining: 883s    
step 00031 (1.9%) | loss: 3.816859 | lrm: 1.00 | dt: 839ms | tok/sec: 39,072 | mfu: 10.6% | epoch: 1 | remaining: 882s    
step 00032 (2.0%) | loss: 3.753599 | lrm: 1.00 | dt: 838ms | tok/sec: 39,110 | mfu: 10.6% | epoch: 1 | remaining: 882s    
step 00033 (2.1%) | loss: 3.724074 | lrm: 1.00 | dt: 838ms | tok/sec: 39,084 | mfu: 10.6% | epoch: 1 | remaining: 881s    
step 00034 (2.1%) | loss: 3.685616 | lrm: 1.00 | dt: 838ms | tok/sec: 39,124 | mfu: 10.6% | epoch: 1 | remaining: 880s    
step 00035 (2.2%) | loss: 3.626986 | lrm: 1.00 | dt: 839ms | tok/sec: 39,073 | mfu: 10.6% | epoch: 1 | remaining: 879s    
step 00036 (2.3%) | loss: 3.589447 | lrm: 1.00 | dt: 840ms | tok/sec: 38,996 | mfu: 10.5% | epoch: 1 | remaining: 878s    
step 00037 (2.4%) | loss: 3.563299 | lrm: 1.00 | dt: 839ms | tok/sec: 39,050 | mfu: 10.6% | epoch: 1 | remaining: 877s    
step 00038 (2.5%) | loss: 3.520915 | lrm: 1.00 | dt: 856ms | tok/sec: 38,293 | mfu: 10.4% | epoch: 1 | remaining: 876s    
step 00039 (2.6%) | loss: 3.495714 | lrm: 1.00 | dt: 826ms | tok/sec: 39,691 | mfu: 10.7% | epoch: 1 | remaining: 876s    
step 00040 (2.7%) | loss: 3.478741 | lrm: 1.00 | dt: 839ms | tok/sec: 39,039 | mfu: 10.6% | epoch: 1 | remaining: 875s    
step 00041 (2.8%) | loss: 3.416721 | lrm: 1.00 | dt: 854ms | tok/sec: 38,368 | mfu: 10.4% | epoch: 1 | remaining: 874s    
step 00042 (2.9%) | loss: 3.398577 | lrm: 1.00 | dt: 839ms | tok/sec: 39,047 | mfu: 10.6% | epoch: 1 | remaining: 873s    
step 00043 (3.0%) | loss: 3.355851 | lrm: 1.00 | dt: 839ms | tok/sec: 39,043 | mfu: 10.6% | epoch: 1 | remaining: 872s    
step 00044 (3.1%) | loss: 3.307472 | lrm: 1.00 | dt: 838ms | tok/sec: 39,116 | mfu: 10.6% | epoch: 1 | remaining: 871s    
step 00045 (3.2%) | loss: 3.283687 | lrm: 1.00 | dt: 838ms | tok/sec: 39,114 | mfu: 10.6% | epoch: 1 | remaining: 871s    
step 00046 (3.3%) | loss: 3.231674 | lrm: 1.00 | dt: 840ms | tok/sec: 39,032 | mfu: 10.6% | epoch: 1 | remaining: 870s    
step 00047 (3.4%) | loss: 3.199652 | lrm: 1.00 | dt: 854ms | tok/sec: 38,382 | mfu: 10.4% | epoch: 1 | remaining: 869s    
step 00048 (3.5%) | loss: 3.167613 | lrm: 1.00 | dt: 839ms | tok/sec: 39,056 | mfu: 10.6% | epoch: 1 | remaining: 868s    
step 00049 (3.5%) | loss: 3.117555 | lrm: 1.00 | dt: 840ms | tok/sec: 39,004 | mfu: 10.5% | epoch: 1 | remaining: 867s    
step 00050 (3.6%) | loss: 3.105804 | lrm: 1.00 | dt: 839ms | tok/sec: 39,078 | mfu: 10.6% | epoch: 1 | remaining: 866s    
step 00051 (3.7%) | loss: 3.069734 | lrm: 1.00 | dt: 837ms | tok/sec: 39,135 | mfu: 10.6% | epoch: 1 | remaining: 866s    
step 00052 (3.8%) | loss: 3.022565 | lrm: 1.00 | dt: 840ms | tok/sec: 39,026 | mfu: 10.6% | epoch: 1 | remaining: 865s    
step 00053 (3.9%) | loss: 2.999001 | lrm: 1.00 | dt: 855ms | tok/sec: 38,322 | mfu: 10.4% | epoch: 1 | remaining: 864s    
step 00054 (4.0%) | loss: 2.966547 | lrm: 1.00 | dt: 841ms | tok/sec: 38,964 | mfu: 10.5% | epoch: 1 | remaining: 863s    
step 00055 (4.1%) | loss: 2.933752 | lrm: 1.00 | dt: 840ms | tok/sec: 39,001 | mfu: 10.5% | epoch: 1 | remaining: 862s    
step 00056 (4.2%) | loss: 2.906476 | lrm: 1.00 | dt: 838ms | tok/sec: 39,084 | mfu: 10.6% | epoch: 1 | remaining: 861s    
step 00057 (4.3%) | loss: 2.864163 | lrm: 1.00 | dt: 838ms | tok/sec: 39,096 | mfu: 10.6% | epoch: 1 | remaining: 861s    
step 00058 (4.4%) | loss: 2.859038 | lrm: 1.00 | dt: 840ms | tok/sec: 39,024 | mfu: 10.6% | epoch: 1 | remaining: 860s    
step 00059 (4.5%) | loss: 2.833952 | lrm: 1.00 | dt: 839ms | tok/sec: 39,039 | mfu: 10.6% | epoch: 1 | remaining: 859s    
step 00060 (4.6%) | loss: 2.801469 | lrm: 1.00 | dt: 854ms | tok/sec: 38,374 | mfu: 10.4% | epoch: 1 | remaining: 858s    
step 00061 (4.7%) | loss: 2.802863 | lrm: 1.00 | dt: 836ms | tok/sec: 39,182 | mfu: 10.6% | epoch: 1 | remaining: 857s    
step 00062 (4.8%) | loss: 2.787526 | lrm: 1.00 | dt: 836ms | tok/sec: 39,184 | mfu: 10.6% | epoch: 1 | remaining: 856s    
step 00063 (4.9%) | loss: 2.756683 | lrm: 1.00 | dt: 840ms | tok/sec: 38,998 | mfu: 10.5% | epoch: 1 | remaining: 855s    
step 00064 (4.9%) | loss: 2.749971 | lrm: 1.00 | dt: 854ms | tok/sec: 38,352 | mfu: 10.4% | epoch: 1 | remaining: 855s    
