torch.compile disabled in this fork runtime path.
Using PyTorch SDPA attention backend.
GPU: NVIDIA GeForce RTX 4060 Ti
GPU VRAM: 16.0 GB
GPU CC: 8.9
GPU profile: ada-10-15gb
Consumer matrix support: yes
TF32: enabled
AMP dtype: torch.bfloat16
Vocab size: 8,192
Dataset: tinystories
Muon compute dtype: torch.bfloat16 (matching AMP dtype)
Using cached autotune candidate: batch_size=4, checkpointing=on.
Attention backend: sdpa
torch.compile: disabled
Trying train candidate: batch_size=4, activation_checkpointing=enabled
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 8, 'n_kv_head': 8, 'n_embd': 512, 'window_pattern': 'SSSL', 'attention_backend': 'sdpa', 'use_activation_checkpointing': True, 'compute_dtype': torch.bfloat16}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,848
  scalars                 : 16
  total                   : 50,332,688
Estimated FLOPs per token: 2.390815e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 900s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011614 | lrm: 1.00 | dt: 1547ms | tok/sec: 21,185 | mfu: 5.7% | epoch: 1 | remaining: 900s    
step 00001 (0.0%) | loss: 8.794908 | lrm: 1.00 | dt: 822ms | tok/sec: 39,846 | mfu: 10.8% | epoch: 1 | remaining: 900s    
step 00002 (0.0%) | loss: 8.084879 | lrm: 1.00 | dt: 838ms | tok/sec: 39,091 | mfu: 10.6% | epoch: 1 | remaining: 900s    
step 00003 (0.0%) | loss: 7.349114 | lrm: 1.00 | dt: 839ms | tok/sec: 39,058 | mfu: 10.6% | epoch: 1 | remaining: 900s    
step 00004 (0.0%) | loss: 6.747931 | lrm: 1.00 | dt: 824ms | tok/sec: 39,765 | mfu: 10.8% | epoch: 1 | remaining: 900s    
step 00005 (0.0%) | loss: 6.237009 | lrm: 1.00 | dt: 837ms | tok/sec: 39,127 | mfu: 10.6% | epoch: 1 | remaining: 900s    
step 00006 (0.0%) | loss: 5.903983 | lrm: 1.00 | dt: 838ms | tok/sec: 39,109 | mfu: 10.6% | epoch: 1 | remaining: 900s    
step 00007 (0.0%) | loss: 5.637797 | lrm: 1.00 | dt: 839ms | tok/sec: 39,034 | mfu: 10.6% | epoch: 1 | remaining: 900s    
step 00008 (0.0%) | loss: 5.409846 | lrm: 1.00 | dt: 821ms | tok/sec: 39,914 | mfu: 10.8% | epoch: 1 | remaining: 900s    
step 00009 (0.0%) | loss: 5.235154 | lrm: 1.00 | dt: 841ms | tok/sec: 38,950 | mfu: 10.5% | epoch: 1 | remaining: 900s    
step 00010 (0.0%) | loss: 5.082200 | lrm: 1.00 | dt: 840ms | tok/sec: 39,012 | mfu: 10.6% | epoch: 1 | remaining: 900s    
step 00011 (0.0%) | loss: 4.922737 | lrm: 1.00 | dt: 824ms | tok/sec: 39,753 | mfu: 10.8% | epoch: 1 | remaining: 899s    
step 00012 (0.1%) | loss: 4.799421 | lrm: 1.00 | dt: 840ms | tok/sec: 38,994 | mfu: 10.5% | epoch: 1 | remaining: 898s    
step 00013 (0.2%) | loss: 4.719556 | lrm: 1.00 | dt: 838ms | tok/sec: 39,115 | mfu: 10.6% | epoch: 1 | remaining: 897s    
step 00014 (0.3%) | loss: 4.603574 | lrm: 1.00 | dt: 823ms | tok/sec: 39,810 | mfu: 10.8% | epoch: 1 | remaining: 897s    
step 00015 (0.4%) | loss: 4.531030 | lrm: 1.00 | dt: 838ms | tok/sec: 39,102 | mfu: 10.6% | epoch: 1 | remaining: 896s    
step 00016 (0.5%) | loss: 4.491434 | lrm: 1.00 | dt: 839ms | tok/sec: 39,046 | mfu: 10.6% | epoch: 1 | remaining: 895s    
step 00017 (0.6%) | loss: 4.409902 | lrm: 1.00 | dt: 838ms | tok/sec: 39,124 | mfu: 10.6% | epoch: 1 | remaining: 894s    
step 00018 (0.6%) | loss: 4.341589 | lrm: 1.00 | dt: 839ms | tok/sec: 39,072 | mfu: 10.6% | epoch: 1 | remaining: 893s    
step 00019 (0.7%) | loss: 4.320295 | lrm: 1.00 | dt: 823ms | tok/sec: 39,807 | mfu: 10.8% | epoch: 1 | remaining: 892s    
step 00020 (0.8%) | loss: 4.249441 | lrm: 1.00 | dt: 838ms | tok/sec: 39,110 | mfu: 10.6% | epoch: 1 | remaining: 892s    
step 00021 (0.9%) | loss: 4.190443 | lrm: 1.00 | dt: 840ms | tok/sec: 38,997 | mfu: 10.5% | epoch: 1 | remaining: 891s    
step 00022 (1.0%) | loss: 4.167364 | lrm: 1.00 | dt: 839ms | tok/sec: 39,039 | mfu: 10.6% | epoch: 1 | remaining: 890s    
step 00023 (1.1%) | loss: 4.117553 | lrm: 1.00 | dt: 824ms | tok/sec: 39,784 | mfu: 10.8% | epoch: 1 | remaining: 889s    
step 00024 (1.2%) | loss: 4.095963 | lrm: 1.00 | dt: 841ms | tok/sec: 38,957 | mfu: 10.5% | epoch: 1 | remaining: 888s    
step 00025 (1.3%) | loss: 4.079146 | lrm: 1.00 | dt: 824ms | tok/sec: 39,765 | mfu: 10.8% | epoch: 1 | remaining: 887s    
step 00026 (1.4%) | loss: 4.037821 | lrm: 1.00 | dt: 841ms | tok/sec: 38,969 | mfu: 10.5% | epoch: 1 | remaining: 887s    
step 00027 (1.5%) | loss: 4.003266 | lrm: 1.00 | dt: 838ms | tok/sec: 39,108 | mfu: 10.6% | epoch: 1 | remaining: 886s    
step 00028 (1.6%) | loss: 3.982127 | lrm: 1.00 | dt: 838ms | tok/sec: 39,104 | mfu: 10.6% | epoch: 1 | remaining: 885s    
step 00029 (1.7%) | loss: 3.929340 | lrm: 1.00 | dt: 822ms | tok/sec: 39,839 | mfu: 10.8% | epoch: 1 | remaining: 884s    
step 00030 (1.8%) | loss: 3.918924 | lrm: 1.00 | dt: 838ms | tok/sec: 39,123 | mfu: 10.6% | epoch: 1 | remaining: 883s    
step 00031 (1.9%) | loss: 3.909726 | lrm: 1.00 | dt: 837ms | tok/sec: 39,141 | mfu: 10.6% | epoch: 1 | remaining: 882s    
step 00032 (1.9%) | loss: 3.853495 | lrm: 1.00 | dt: 840ms | tok/sec: 39,028 | mfu: 10.6% | epoch: 1 | remaining: 882s    
step 00033 (2.0%) | loss: 3.831742 | lrm: 1.00 | dt: 840ms | tok/sec: 38,995 | mfu: 10.5% | epoch: 1 | remaining: 881s    
step 00034 (2.1%) | loss: 3.800524 | lrm: 1.00 | dt: 824ms | tok/sec: 39,744 | mfu: 10.7% | epoch: 1 | remaining: 880s    
step 00035 (2.2%) | loss: 3.751767 | lrm: 1.00 | dt: 841ms | tok/sec: 38,960 | mfu: 10.5% | epoch: 1 | remaining: 879s    
step 00036 (2.3%) | loss: 3.720891 | lrm: 1.00 | dt: 822ms | tok/sec: 39,848 | mfu: 10.8% | epoch: 1 | remaining: 878s    
step 00037 (2.4%) | loss: 3.701915 | lrm: 1.00 | dt: 840ms | tok/sec: 39,021 | mfu: 10.6% | epoch: 1 | remaining: 877s    
step 00038 (2.5%) | loss: 3.671197 | lrm: 1.00 | dt: 837ms | tok/sec: 39,139 | mfu: 10.6% | epoch: 1 | remaining: 877s    
step 00039 (2.6%) | loss: 3.656312 | lrm: 1.00 | dt: 839ms | tok/sec: 39,077 | mfu: 10.6% | epoch: 1 | remaining: 876s    
step 00040 (2.7%) | loss: 3.647667 | lrm: 1.00 | dt: 822ms | tok/sec: 39,843 | mfu: 10.8% | epoch: 1 | remaining: 875s    
step 00041 (2.8%) | loss: 3.594199 | lrm: 1.00 | dt: 838ms | tok/sec: 39,089 | mfu: 10.6% | epoch: 1 | remaining: 874s    
step 00042 (2.9%) | loss: 3.581927 | lrm: 1.00 | dt: 840ms | tok/sec: 39,001 | mfu: 10.5% | epoch: 1 | remaining: 873s    
step 00043 (3.0%) | loss: 3.543520 | lrm: 1.00 | dt: 822ms | tok/sec: 39,860 | mfu: 10.8% | epoch: 1 | remaining: 872s    
step 00044 (3.1%) | loss: 3.502603 | lrm: 1.00 | dt: 839ms | tok/sec: 39,049 | mfu: 10.6% | epoch: 1 | remaining: 872s    
step 00045 (3.2%) | loss: 3.483486 | lrm: 1.00 | dt: 839ms | tok/sec: 39,061 | mfu: 10.6% | epoch: 1 | remaining: 871s    
step 00046 (3.2%) | loss: 3.435867 | lrm: 1.00 | dt: 839ms | tok/sec: 39,068 | mfu: 10.6% | epoch: 1 | remaining: 870s    
step 00047 (3.3%) | loss: 3.405840 | lrm: 1.00 | dt: 836ms | tok/sec: 39,204 | mfu: 10.6% | epoch: 1 | remaining: 869s    
step 00048 (3.4%) | loss: 3.375382 | lrm: 1.00 | dt: 823ms | tok/sec: 39,829 | mfu: 10.8% | epoch: 1 | remaining: 868s    
step 00049 (3.5%) | loss: 3.323472 | lrm: 1.00 | dt: 841ms | tok/sec: 38,967 | mfu: 10.5% | epoch: 1 | remaining: 867s    
step 00050 (3.6%) | loss: 3.313088 | lrm: 1.00 | dt: 838ms | tok/sec: 39,101 | mfu: 10.6% | epoch: 1 | remaining: 867s    
step 00051 (3.7%) | loss: 3.281448 | lrm: 1.00 | dt: 838ms | tok/sec: 39,103 | mfu: 10.6% | epoch: 1 | remaining: 866s    
step 00052 (3.8%) | loss: 3.238111 | lrm: 1.00 | dt: 823ms | tok/sec: 39,799 | mfu: 10.8% | epoch: 1 | remaining: 865s    
step 00053 (3.9%) | loss: 3.215596 | lrm: 1.00 | dt: 841ms | tok/sec: 38,940 | mfu: 10.5% | epoch: 1 | remaining: 864s    
step 00054 (4.0%) | loss: 3.182764 | lrm: 1.00 | dt: 823ms | tok/sec: 39,827 | mfu: 10.8% | epoch: 1 | remaining: 863s    
step 00055 (4.1%) | loss: 3.150084 | lrm: 1.00 | dt: 839ms | tok/sec: 39,037 | mfu: 10.6% | epoch: 1 | remaining: 862s    
step 00056 (4.2%) | loss: 3.121982 | lrm: 1.00 | dt: 840ms | tok/sec: 39,020 | mfu: 10.6% | epoch: 1 | remaining: 862s    
step 00057 (4.3%) | loss: 3.080623 | lrm: 1.00 | dt: 824ms | tok/sec: 39,766 | mfu: 10.8% | epoch: 1 | remaining: 861s    
step 00058 (4.4%) | loss: 3.076429 | lrm: 1.00 | dt: 839ms | tok/sec: 39,059 | mfu: 10.6% | epoch: 1 | remaining: 860s    
step 00059 (4.5%) | loss: 3.047509 | lrm: 1.00 | dt: 839ms | tok/sec: 39,039 | mfu: 10.6% | epoch: 1 | remaining: 859s    
step 00060 (4.5%) | loss: 3.009762 | lrm: 1.00 | dt: 823ms | tok/sec: 39,798 | mfu: 10.8% | epoch: 1 | remaining: 858s    
step 00061 (4.6%) | loss: 3.007307 | lrm: 1.00 | dt: 838ms | tok/sec: 39,105 | mfu: 10.6% | epoch: 1 | remaining: 857s    
step 00062 (4.7%) | loss: 2.988642 | lrm: 1.00 | dt: 839ms | tok/sec: 39,051 | mfu: 10.6% | epoch: 1 | remaining: 857s    
step 00063 (4.8%) | loss: 2.955149 | lrm: 1.00 | dt: 823ms | tok/sec: 39,812 | mfu: 10.8% | epoch: 1 | remaining: 856s    
step 00064 (4.9%) | loss: 2.945505 | lrm: 1.00 | dt: 837ms | tok/sec: 39,156 | mfu: 10.6% | epoch: 1 | remaining: 855s    
